,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('23_mammography', 2, 5)",0.16767804853217105,0.2603930167346774,0.16390926976814663,0.3488095946106054,0.40185670229880954,0.3140991641186541,0.21113048858635233
"('23_mammography', 2, 10)",0.17006942747362552,0.27717231786325786,0.2215225729923716,0.4436017555881586,0.40701927731385346,0.48262333839330596,0.25987956075278074
"('23_mammography', 2, 20)",0.17003278330740645,0.26819902768140946,0.3265157872380148,0.44519965094145736,0.4263974303577148,0.4441662548352314,0.4143428266391429
"('23_mammography', 3, 5)",0.5082041943491421,0.6558180231432361,0.50425267682233,0.5771191172801585,0.7390662578961468,0.6314208422719054,0.26842458697509886
"('23_mammography', 3, 10)",0.5111002776141765,0.691361176325214,0.6373038573878566,0.779748729292589,0.7917761712900296,0.6757694115811258,0.5520861559258811
"('23_mammography', 3, 20)",0.5412799344717377,0.6916295589279735,0.7178823354163243,0.725564017118701,0.7462461273061979,0.7054659351095302,0.7872232449466675
"('38_thyroid', 1, 5)",0.7724849753313843,0.8127658460740422,0.6089668674987607,0.7497235570540288,0.8164585476990407,0.8515180977038742,0.6012208785284001
"('38_thyroid', 1, 10)",0.7557732461354179,0.838406008076005,0.8238786370849195,0.8805888156337002,0.86967731767925,0.9576636015682789,0.9152673218709728
"('38_thyroid', 1, 20)",0.7788792115802563,0.917280752577802,0.9074333840394211,0.9488386369965316,0.9042162361070922,0.921316855187823,0.9599963045084997
"('38_thyroid', 2, 5)",0.4532895478923108,0.639407347993016,0.3876712440898252,0.9298992713223766,0.9250211804627699,0.7673149508819168,0.7803880070195872
"('38_thyroid', 2, 10)",0.4221040590063586,0.49790912652700337,0.48797868884939083,0.9326729518705221,0.9341910247826306,0.9423781290697184,0.7865361187353443
"('38_thyroid', 2, 20)",0.45889666065754114,0.7388153189676551,0.5979987932165379,0.9377904874228402,0.9439460642866337,0.8655513398759652,0.851462791473176
"('38_thyroid', 3, 5)",0.07107866425660841,0.7688639435630231,0.36980654061577256,0.8708312057083065,0.8438465989986358,0.9019402626177715,0.8573241976488184
"('38_thyroid', 3, 10)",0.07095791619559073,0.6038091541104317,0.5327847137606568,0.931105043432795,0.9203503077349402,0.8280678301910234,0.8806341666072843
"('38_thyroid', 3, 20)",0.07312371523371708,0.641137024081065,0.6386501557985917,0.9286930155511934,0.8988641069281108,0.9460885585825011,0.9524307214524604
"('44_Wilt', 1, 5)",0.05444444444444444,0.062424114017928765,0.11783783036680484,0.18963948961706542,0.35877428084271357,0.5308931684452637,0.19331565224033212
"('44_Wilt', 1, 10)",0.05444444444444444,0.04178638789352395,0.21987914561282443,0.21373160340986788,0.40034337274004717,0.5972031374315909,0.45198122472957825
"('44_Wilt', 1, 20)",0.05444444444444444,0.05010952961207738,0.39887983547568906,0.6231909571293223,0.4509973818699583,0.1164343484313522,0.6184149074168681
"('44_Wilt', 2, 5)",0.052222222222222225,0.052876287986325904,0.03909697811708997,0.28586596957158117,0.3561853190064947,0.08557473850060676,0.3177274392440116
"('44_Wilt', 2, 10)",0.052222222222222225,0.0487361122155411,0.041428334407406904,0.09254482715096651,0.3258322355660813,0.6028807877473503,0.6256864270490472
"('44_Wilt', 2, 20)",0.052222222222222225,0.0639229999326779,0.05818156701181801,0.2705618146737192,0.36141965221972727,0.58280057291094,0.6579363188371703
"('44_Wilt', 3, 5)",0.05444444444444444,0.05336007081839405,0.08551412936218308,0.2557719520710819,0.29192605385250003,0.38001860345088506,0.32061729736754746
"('44_Wilt', 3, 10)",0.05444444444444444,0.04499970732784443,0.10603498161322499,0.37637946566451413,0.3365932364764716,0.075729261565529,0.42381795762317964
"('44_Wilt', 3, 20)",0.05444444444444444,0.05306874190038811,0.1583076494311513,0.2867135750436373,0.3785470958794138,0.19892222930192716,0.5964192430908591
"('3_backdoor', 1, 5)",0.6480562182807176,0.98685714446584,0.5958761743595772,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.41174162805427256
"('3_backdoor', 1, 10)",0.6453465147897641,0.9118493145391877,0.6567427408863733,0.9999999999999999,0.9999999999999999,0.9776595663808306,0.39042650820313973
"('3_backdoor', 1, 20)",0.6489096183528676,0.9028531024179756,0.9719233210151822,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7917336852714582
"('3_backdoor', 2, 5)",0.35686229202785125,0.6941707991939605,0.4166683931344162,0.5970185382093715,0.814736801148993,0.36619115454601214,0.4724787998192045
"('3_backdoor', 2, 10)",0.3581207368383569,0.6649195088864883,0.5234484760241285,0.8610528310165334,0.8477528511302365,0.8379013285481209,0.544661804326643
"('3_backdoor', 2, 20)",0.37214780353853866,0.7189165489317513,0.6372603615570851,0.6953930398174969,0.8583807346299018,0.5712320840635573,0.49648823583996177
"('3_backdoor', 3, 5)",0.471681215819487,0.7476578168306652,0.2862500168315228,0.8634622032112111,0.6115423952146039,0.2942873567437873,0.2716902518637194
"('3_backdoor', 3, 10)",0.49599657769766115,0.8093509574112209,0.7343982000304374,0.8390177255609629,0.8311274622364996,0.895341503521238,0.6137558905853226
"('3_backdoor', 3, 20)",0.5001650113487077,0.8278471342297531,0.7838131807245033,0.8375396584788898,0.8301664904525317,0.8382658946516266,0.5915290056213233
"('11_donors', 1, 5)",0.05562762217226211,0.9920651841952354,0.47576641929028524,0.9762091479394344,0.9672808070792173,0.8772578453833904,0.19186672137034427
"('11_donors', 1, 10)",0.22552738302894165,0.18803202336577843,0.7506525138170416,1.0,0.9996505939902166,0.995020964360587,0.5791059446092165
"('11_donors', 1, 20)",0.20636394797887114,0.9616019180329818,0.9374011069884591,0.9630542205752055,0.9702807037919143,0.9993138936535163,0.8361517346029442
"('11_donors', 2, 5)",0.1068253236854571,0.8638335287328338,0.49927493500376957,1.0,0.9620310108746888,0.9976911976911977,0.43380158886975057
"('11_donors', 2, 10)",0.110148758898222,0.9603120602014201,0.7595823162115077,1.0,0.9665208242890997,0.9899009900990099,0.6106144836803737
"('11_donors', 2, 20)",0.08985584663837999,0.9919542454564809,0.9067291095904577,1.0,0.99239399299161,0.9944871057745642,0.8991305814998728
"('11_donors', 3, 5)",0.42596057831687495,0.8941428530493951,0.5262209219893371,0.9726043635933465,0.8931679283525664,0.9865792066006225,0.581710472264025
"('11_donors', 3, 10)",0.42683941838387196,0.7364219134581688,0.6946119510754336,0.999479573250065,0.9541101300338843,1.0,0.7348364718279656
"('11_donors', 3, 20)",0.4231558820497958,0.9482149404063706,0.8342428135964977,0.9985319305113777,0.9727664670941473,0.9956547501481336,0.887818757237126
"('28_pendigits', 1, 5)",0.15643174617629435,0.9733201581027666,0.8603197241225117,0.9895163758800122,0.9818428853754941,0.9860291223927586,0.7198032216732344
"('28_pendigits', 1, 10)",0.15315524592327287,0.9477590063653181,0.9762339110165195,0.9783549783549783,0.9924793388429752,0.9772727272727271,0.9573526898797795
"('28_pendigits', 1, 20)",0.1655456650223188,0.9685781706002471,0.9980237154150196,0.9962121212121213,0.9868035190615834,0.9999999999999998,0.9607137523041411
"('28_pendigits', 2, 5)",0.07800212227765509,0.7556372638904854,0.6269856978778797,0.8572910465724737,0.8728140167912896,0.7422638365696669,0.5521181719328976
"('28_pendigits', 2, 10)",0.05401813975432381,0.7312256688046648,0.7400568501317589,0.8248276358872617,0.8359524905789265,0.8263744472893089,0.6757818652246665
"('28_pendigits', 2, 20)",0.038287056871961676,0.8528280431102548,0.9140131206198858,0.8889452874148038,0.892340913571507,0.930064925035455,0.8556697902652614
"('28_pendigits', 3, 5)",0.10886517528026943,0.9070323735696653,0.8189405235599159,0.9485489722929914,0.9752230956178323,0.9698271046713758,0.5472002985133149
"('28_pendigits', 3, 10)",0.1101424266694143,0.8968980731638052,0.9444004321818844,0.9407704426608599,0.9548496326905418,0.8958889537925214,0.6590881403397884
