,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('44_Wilt', 1, 5)",0.5,0.6009496630614644,0.6708674068922515,0.831314899637881,0.8963284491234802,0.8852490467397299,0.8412192138900214
"('44_Wilt', 1, 10)",0.5,0.3906808316746205,0.7033262188541692,0.8054149979615818,0.8891580133816158,0.91352310606969,0.8834624331518741
"('44_Wilt', 1, 20)",0.5,0.4937528477901149,0.747691791170052,0.9645315235377346,0.9162330031895249,0.7088419386556034,0.9108132089498548
"('44_Wilt', 2, 5)",0.5,0.5391484373051308,0.35342096729939393,0.8441794916564815,0.9054151804644434,0.6814995884363074,0.8425955950213264
"('44_Wilt', 2, 10)",0.5,0.49609638073383056,0.3849242972238158,0.7377466264248833,0.9324037813973212,0.9473946771095757,0.8995036292434712
"('44_Wilt', 2, 20)",0.5,0.627871592127909,0.4865930009229004,0.9205058491930858,0.940235963183757,0.9559003267566287,0.9396622683395276
"('44_Wilt', 3, 5)",0.5,0.5195088611237679,0.5825559365932036,0.9066884097939999,0.9302621165975203,0.9445550253003668,0.7988560876759635
"('44_Wilt', 3, 10)",0.5,0.43614954795079014,0.6079042662893595,0.9444351183481619,0.9422048490371472,0.6312861219693517,0.88783903690736
"('44_Wilt', 3, 20)",0.5,0.5126741648480779,0.661382766972829,0.8521067651502434,0.9492553778268065,0.7941437444543036,0.9203578023453799
"('3_backdoor', 1, 5)",0.992199391171994,0.9996194824961948,0.9698439878234398,1.0,1.0,1.0,0.9733637747336378
"('3_backdoor', 1, 10)",0.9921518264840182,0.9921518264840182,0.9809265601217656,1.0,1.0,0.9992865296803654,0.9623287671232876
"('3_backdoor', 1, 20)",0.9922945205479452,0.99191400304414,0.9993340943683409,1.0,1.0,1.0,0.9826388888888888
"('3_backdoor', 2, 5)",0.8572685856284945,0.9294367363843447,0.958376475460758,0.9621557258231518,0.9567715883205634,0.9292296541727066,0.9316369848829985
"('3_backdoor', 2, 10)",0.8574238972872231,0.9304203768896251,0.9624145785876993,0.9853489335266101,0.9628287430109752,0.9468834127148478,0.9599554773244978
"('3_backdoor', 2, 20)",0.8588217022157797,0.907330710291986,0.9661938289500932,0.9765997100849038,0.9582211638020294,0.9600849037067717,0.947478774073307
"('3_backdoor', 3, 5)",0.8833091737419756,0.9213087595775523,0.8122799751501346,0.9857113273969766,0.9524746324290743,0.8338682957133983,0.8941033340236074
"('3_backdoor', 3, 10)",0.8842410436943466,0.9351832677572997,0.9578587699316629,0.9357527438393042,0.8851211430938083,0.9898012010768275,0.957962311037482
"('3_backdoor', 3, 20)",0.8840339614827086,0.9216193828950093,0.9730275419341479,0.9325947401118244,0.9099710084903707,0.970283702629944,0.939764961689791
"('11_donors', 1, 5)",0.2875186563008175,0.9995322002183066,0.9138134592680047,0.998396115034194,0.9979505914325811,0.985342273506939,0.8524648593259229
"('11_donors', 1, 10)",0.8319484974716536,0.8712659553139828,0.9872803011739546,1.0,0.9999777238199195,0.9995767525784679,0.9423937983114656
