,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('12_fault', 2, 10)",0.4189668100905908,0.43444203481904337,0.34112373837991916,0.4424607659543955,0.4021733724109985,0.40194374258762877,0.4222634269132297,0.46583038175528113,0.36551563207174587,0.4427039523420919
"('12_fault', 2, 20)",0.5024848683555917,0.4952350161873097,0.3941318563873797,0.47288037475074984,0.4161675697807555,0.5168836672058982,0.46766068943268546,0.4956304980094613,0.40479604299457683,0.45078387059816416
"('12_fault', 3, 5)",0.5497291450706849,0.4811234810235068,0.3254684971767693,0.5247060299845564,0.43026393970561905,0.5009084218836984,0.4927153907998469,0.5369137687405208,0.40590877843111395,0.43149622637266893
"('12_fault', 3, 10)",0.5569520779975503,0.52327465485135,0.41309407360763895,0.48792076976434257,0.47762658798289,0.5331958830345249,0.5241945795535283,0.5808137536149931,0.29332468325368405,0.4922177954906856
"('12_fault', 3, 20)",0.5398329902183316,0.4974364945034457,0.44978430651916285,0.49587098767168175,0.56600780015752,0.5313040450631361,0.5544020344750609,0.5818686792874723,0.41746104971593867,0.4621455438230997
"('17_InternetAds', 1, 5)",0.6245093931163632,0.1942064714946071,0.39823002617804476,0.20499230621876086,0.28998459167950696,0.508360971379278,0.6191007909482975,0.5917580194073969,0.21573027551770177,
"('17_InternetAds', 1, 10)",0.4804035300246293,0.19445300462249615,0.3534600426376959,0.23684379415385226,0.2537767160279623,0.31523333063572107,0.30506030632124803,0.6089103971413421,0.29075024107469705,
"('17_InternetAds', 1, 20)",0.5994675858510327,0.20483740167058634,0.5294509192712736,0.3597388866925626,0.4668471612024301,0.5231759030955049,0.638747988089497,0.6681455046888444,0.3630279134971986,
"('17_InternetAds', 2, 5)",0.6877005592435013,0.18777606574216743,0.48846565569831446,0.19870640655539917,0.32399184448491075,0.20100743653136183,0.5473651126194441,0.7081666083404902,0.21356194558367253,
"('17_InternetAds', 2, 10)",0.6942021383564174,0.1891114535182332,0.5268728100361246,0.2490921898169108,0.43069763652764653,0.35869722724078945,0.6564478720902936,0.7129817244572109,0.22204236966115942,
"('17_InternetAds', 2, 20)",0.7342389164448596,0.1955225233390737,0.5879118907619895,0.3362266745514148,0.5888435995458599,0.44364027630456865,0.6305100913542642,0.7369994453902923,0.355018857513946,
"('17_InternetAds', 3, 5)",0.3594298373732145,0.19517205957883924,0.1496053390867838,0.1646888051879692,0.2418839729009221,0.18702190766722288,0.26435839845109943,0.7590996595940538,0.24374774532071586,
"('17_InternetAds', 3, 10)",0.643956223894736,0.2032186269474405,0.37989381739834105,0.24083561294443429,0.37624847997918703,0.2999617204415731,0.5298162523058687,0.7353936627396442,0.2510414610604521,
"('17_InternetAds', 3, 20)",0.6743716270489857,0.2005869836378311,0.5118134526141277,0.3389107558102949,0.5152684482586579,0.44492890306856975,0.45153097307478396,0.8238869306026982,0.3056130234594717,
"('7_Cardiotocography', 1, 5)",0.5703097501737532,0.5439365998866055,0.5150379279558253,0.22046134121453842,0.4116618832114423,0.5931822482000081,0.6147121197605991,0.6932643173471952,0.48690998461709256,0.6618998661036108
"('7_Cardiotocography', 1, 10)",0.4728582251324466,0.6315296653341481,0.5779022491771836,0.23755280366256254,0.527458257328026,0.6587934761068327,0.6374492163539212,0.6984364578209059,0.4902949357229058,0.6609746760956743
"('7_Cardiotocography', 1, 20)",0.5418882189432845,0.6760021581492762,0.4157542435468121,0.5565182211073514,0.5954760191343429,0.6061793989690415,0.6796652835986546,0.6638079521736763,0.4155272102781705,0.6426999900930938
"('7_Cardiotocography', 2, 5)",0.5592338448383584,0.5522579916136239,0.1745258653133565,0.14575807862266044,0.3557221546915849,0.5299991351440442,0.5568207532480459,0.5958605201181179,0.4559907461320013,0.6859957465274841
"('7_Cardiotocography', 2, 10)",0.6380036104803104,0.7209827257258226,0.6093076432043366,0.6240338112407597,0.4810605493072251,0.5138613748328832,0.6423190746092017,0.7094952137153707,0.5271531827621485,0.6644517152589071
"('7_Cardiotocography', 2, 20)",0.7058135189975346,0.7972463891437263,0.6545572133114654,0.6712392207261835,0.5606668978241428,0.6764627096275025,0.6610454157434404,0.7676494967462065,0.5047258834773483,0.7111639132101821
"('7_Cardiotocography', 3, 5)",0.39875706918461407,0.6213684299858053,0.3534608317171601,0.18397455217091935,0.37855601614681944,0.4775363442101761,0.46210515160851184,0.5611625030510984,0.19349291417400677,0.6037816914835366
