component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
optimizer_name:Adam,0.8956998193274308,0.8367690517528833,0.8899966804067785,0.9704694619561715,0.8998276080817912,0.9603058549578364,0.929785450443964,0.9283826965244316,0.9213191288904655,0.9488287247688934,0.8880725245823323,0.9183502359081236,0.944415195865832,0.9502131840840143
optimizer_name:RMSprop,0.872460429657182,0.8020868214086542,0.8751228192676708,0.954115739705776,0.8738324498776351,0.9348190016430322,0.8991014867275361,0.9001338125510819,0.8652490910772297,0.9317936430229729,0.8541716717959796,0.8825555692823518,0.9166580946022218,0.9184315139790298
optimizer_name:SGD,0.7897726222584883,0.7012160292820259,0.7874801383684147,0.9258996569560043,0.7878272113331465,0.8315785382430371,0.8364055603451204,0.8433146756491905,0.7854307039103068,0.870823367311995,0.7579371779029704,0.8238534573936368,0.9001644303867278,0.9413166427174156
batch_resample:False,0.7206069026674072,0.7106449584090135,0.7397335417370104,0.8397830892559287,0.7441324683421842,0.8053368552200663,0.7747762743853939,0.7594427121728312,0.7475989521340202,0.8023547794957735,0.7063670026509513,0.7528139301417335,0.7308231902589855,0.6907709703355676
batch_resample:True,0.8809923029953616,0.7959038675495059,0.8747039860628936,0.9720444286036068,0.8776686000788273,0.933029734546893,0.9129077391651533,0.9180447082151884,0.8810877076197599,0.9414048746185636,0.8606299167229877,0.9016606996146865,0.9579000110119034,0.9811329683507625
epochs:50,0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
batch_size:256,0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
lr:0.001,0.8664560008890142,0.796282406310977,0.8632461134419026,0.9619465582139184,0.8665390018942432,0.9106067313129793,0.9061826660424288,0.9048296371533556,0.8668901860832161,0.9268029731606526,0.8499148164467251,0.8932235344726833,0.936523824432036,0.9592453362955059
lr:0.01,0.842241284687176,0.7674836777741743,0.8414513831392625,0.9404786854936605,0.8448174030200477,0.9143569258347647,0.8734085003018511,0.8785560350125131,0.8514177832715916,0.9117832348757505,0.8202870241639212,0.8601904828406144,0.9057396797234365,0.9129180123564581
weight_decay:0.01,0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
