Domain,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('Image', 2, 10)",0.8264064246480474,0.6936533694698201,0.5897205518432935,0.7984768227431223,0.7650589544755438,0.8107545366725106,0.8500487518439422,0.873534263202805,0.6198731249300347,0.8487921348958645
"('Image', 2, 20)",0.8479460598901986,0.7470288854540611,0.8367160694822292,0.8333109997544743,0.8476899245782669,0.8758530855613906,0.883804275377563,0.9120561709526062,0.7366759665838015,0.8842700286814592
"('Image', 2, 5)",0.808081641348998,0.6459475194438827,0.7217578796818422,0.7543058271927513,0.6949973741685712,0.6607345340675895,0.7683861866904551,0.8280441885707468,0.5746058041850552,0.7972635822560595
"('Image', 3, 10)",0.8253394664334073,0.7485562143844426,0.8131970710563557,0.8090059285442207,0.7664493119155246,0.8375687035609473,0.8387024942475365,0.891056731096584,0.6659321685979,0.8490713812209237
"('Image', 3, 20)",0.8194426790841383,0.7648533997422067,0.773242606417142,0.8320278038789071,0.8466635668081428,0.8644800633434789,0.8480061134356588,0.9114256214600783,0.7274921718820853,0.8710767747433887
"('Image', 3, 5)",0.7741166407792816,0.697094249159058,0.5913214287149718,0.7340750106191485,0.7059850740246254,0.7012198330482311,0.7564970259884671,0.859710399492323,0.6638426567812805,0.7912058476214254
"('Linguistics', 1, 10)",0.8569860424574496,0.787565161409077,0.7643959579821722,0.7681528695145576,0.7076444753758229,0.73685805848041,0.7153235977675794,0.8307110278033927,0.7623186337057608,0.7493931746048768
"('Linguistics', 1, 20)",0.900923563008871,0.8041422060074486,0.8764416822142638,0.815961361987376,0.7560726267129163,0.8643378108625879,0.806557645843609,0.8582962179129763,0.8246225128312353,0.8596052205971707
"('Linguistics', 1, 5)",0.8794214037693094,0.7954614866362147,0.5084773049759459,0.7473193016269577,0.6407540327696882,0.7702205212197895,0.7015351855972064,0.7338592710142752,0.687035861783649,0.6907968724310724
"('Linguistics', 2, 10)",0.8159995001829687,0.8216814380450015,0.7932455083406966,0.8245733258360779,0.7279827473871172,0.7870979373622156,0.7974955596611955,0.8218819003757554,0.7953961496237985,0.7694643032461331
"('Linguistics', 2, 20)",0.8050272668041163,0.8229330334431146,0.7987492971322998,0.8164375541096562,0.7536018511080766,0.7810145393204273,0.7840478931819601,0.833646254496122,0.8330748565257362,0.7047262162958203
"('Linguistics', 2, 5)",0.867366678269562,0.7709026160066405,0.7652256763149204,0.8139561410555065,0.7729890843530492,0.7977896484322704,0.8495999678689051,0.8236277791165734,0.7584293249792486,0.7811566301621728
"('Linguistics', 3, 10)",0.7543640274542356,0.733307092939192,0.6638176203354129,0.7366281986058674,0.6938071331030604,0.7537971813889559,0.7777236011817104,0.8313961853250149,0.6746751635561982,0.7120087289474388
"('Linguistics', 3, 20)",0.8317242795048241,0.803691862800225,0.8180053730330861,0.7941406270918682,0.7673584223632421,0.7584884104925875,0.8056266009764282,0.8306692193036478,0.75997179603895,0.6683373943467122
"('Linguistics', 3, 5)",0.6894412759614784,0.7130351389223587,0.5958489303023,0.696758865058327,0.7063500415026642,0.6479744022277559,0.6440040253121625,0.7409512589141476,0.6298589801947501,0.7715264947653091
"('Network', 1, 10)",1.0,0.9171660958904108,0.5982686453576863,0.9995719178082192,0.9255612633181126,0.9921518264840182,0.966847412480974,0.9940544140030444,0.8569729832572298,1.0
"('Network', 1, 20)",1.0,0.880921803652968,0.8887461948249619,0.9999048706240488,0.9760749619482496,0.9955289193302892,0.9856354642313546,0.999714611872146,0.9124334094368342,0.9980974124809742
"('Network', 1, 5)",1.0,0.9166666666666669,0.7894786910197868,0.9989535768645358,0.8218702435312024,0.7444349315068494,0.9689878234398782,0.9951008371385084,0.898972602739726,0.9999524353120244
"('Network', 2, 10)",0.9507144336301512,0.7830813833091737,0.8751811969351833,0.9052598881756058,0.8711430938082418,0.9196003313315386,0.9671256989024642,0.9487989231724996,0.6723441706357425,0.9501449575481468
"('Network', 2, 20)",0.9708014081590391,0.8021847173327812,0.9263305032097742,0.933785462828743,0.9428194243114516,0.9823980120107684,0.9720439014288672,0.96339821909298,0.8485193621867883,0.9515427624767032
"('Network', 2, 5)",0.9486953820666806,0.7825119072271691,0.8637916752950922,0.9002381445433837,0.7793797887761441,0.9222406295299234,0.9194967902257196,0.9458480016566576,0.8014081590391386,0.9536135845930834
"('Network', 3, 10)",0.9515427624767032,0.8239801201076827,0.9702319320770344,0.9604990681300476,0.9482812176434045,0.9133360944294886,0.9672810105611928,0.9725098364050528,0.786291157589563,0.945925657486022
"('Network', 3, 20)",0.9512321391592462,0.8647235452474633,0.969765997100849,0.9665562228204598,0.9261751915510458,0.9783599088838268,0.9602143300890452,0.9677987160902878,0.8426175191551046,0.9867467384551668
"('Network', 3, 5)",0.9512839097121556,0.6503416856492028,0.8003209774280389,0.9463657071857527,0.878339200662663,0.9198074135431769,0.9646924829157176,0.7536239387036654,0.5583454131290122,0.8553013046179333
"('Physical', 1, 10)",0.7023645293828549,0.7303243722692201,0.580096371118848,0.7108079670167942,0.5896697227870608,0.6268117983932281,0.6473013082021424,0.7351100664667749,0.47961474850495567,0.6484535410397363
"('Physical', 1, 20)",0.7306064685432914,0.6793962072945127,0.5783089909816005,0.7106349581219484,0.655126394086449,0.7019234712314983,0.6934503425346714,0.7632485521338137,0.5081310656013919,0.6612106983260118
"('Physical', 1, 5)",0.6866911251394421,0.6962034517977305,0.46187440145984615,0.6875928004894247,0.545083556958837,0.6019318896151578,0.5870934529410059,0.6708710216636612,0.5452869460449906,0.5738731004153185
"('Physical', 2, 10)",0.6010508145068583,0.6755814329616121,0.442663856077489,0.6482140860491343,0.581630195825397,0.6109829531897542,0.6054673541906017,0.6749999657881616,0.4706322127269673,0.5621545731100532
"('Physical', 2, 20)",0.6862700540596602,0.7030869558622227,0.5520021458139411,0.678424564369302,0.6121634995081652,0.6996913086203048,0.6555076121939734,0.7110638987948337,0.5478410796273115,0.6110325848519949
"('Physical', 2, 5)",0.5773088715680081,0.5177917755769702,0.3997662041389624,0.5864335565652361,0.5116085839875588,0.55402504938262,0.5902353329680462,0.608478923616649,0.5105842491940268,0.5624277633257777
"('Physical', 3, 10)",0.6446024491908219,0.6305577986856918,0.5229252496432366,0.6539910139200222,0.5889795458509283,0.6541804075595709,0.6216146009512873,0.6770485248794709,0.43773471731125485,0.5646532885669758
"('Physical', 3, 20)",0.6674511291526564,0.6472241858078958,0.561835074345197,0.6448511923744553,0.6476977341241263,0.6663002098699236,0.6756919253001051,0.711808550716645,0.4815396969728974,0.6563451208300988
"('Physical', 3, 5)",0.4986681641259793,0.5482510499428296,0.5197514707024604,0.5937046937297883,0.5591007887858577,0.587361272238395,0.59544294003612,0.6093540991744453,0.46347162319036117,0.565325752481481
"('Physics', 1, 10)",0.9159136226719272,0.937720079759026,0.8931313902677017,0.9080225701073352,0.8239786177930508,0.9094225955623436,0.9152772474651054,0.9218955496160536,0.7096007806202538,0.8962284162742353
"('Physics', 1, 20)",0.9303805523736794,0.9290229519324592,0.8739977090492553,0.8809129862967205,0.8950617283950617,0.8874464384200924,0.9182894234440626,0.9000466675151669,0.7810020788256756,0.882716049382716
"('Physics', 1, 5)",0.882694836875822,0.9313139026770184,0.8713673581943914,0.8952102159433202,0.6328327181706332,0.8652157311951126,0.8712612956599212,0.8735310338975861,0.7311526876246234,0.7475711679606295
"('Physics', 2, 10)",0.8945738407364983,0.8368758219846422,0.8496457511348691,0.8518094268380637,0.7685715497857537,0.7886810063213271,0.7650502736413388,0.8897373891646515,0.8034873361333843,0.8303423698612702
"('Physics', 2, 20)",0.910525645920835,0.8614823299817572,0.8767553349454839,0.8740401340630436,0.8916253022782232,0.9045012939629206,0.9217258495609012,0.9207924992575622,0.6939883755462222,0.9149802723685884
"('Physics', 2, 5)",0.8012388104026134,0.6650545161427177,0.2049128165966653,0.8432395740528615,0.6243477154130075,0.791268932162403,0.7729837512197191,0.8444698994527173,0.5170760680497222,0.6889397989054347
"('Physics', 3, 10)",0.9169160359091708,0.922548847033973,0.8796426685442704,0.9395792994191164,0.7875374053863756,0.8850114416475973,0.8707093821510298,0.9245731385319488,0.7382063017074458,0.9130434782608696
"('Physics', 3, 20)",0.930161943319838,0.9155078331279703,0.8964970955817638,0.944155958458018,0.9069706037669424,0.9207005808836471,0.919996479493047,0.9535293082203836,0.6959602182714311,0.93526667840169
"('Physics', 3, 5)",0.8815349410315085,0.8585636331631755,0.8840873085724344,0.9130434782608696,0.7654902305932054,0.7333215983101566,0.7847430029924309,0.894736842105263,0.6179369829255412,0.8093205421580707
"('Sociology', 1, 10)",0.9451490960550641,0.7545968389907147,0.4911488444224513,0.8926437742925178,0.8073646792607596,0.9103861325962714,0.924944124378559,0.9179359908849085,0.6590776320916714,0.8990695403553697
"('Sociology', 1, 20)",0.9384248741014404,0.7675674327348615,0.9017298651992642,0.857698734319426,0.8959757936970023,0.9254559639007778,0.9330628960056516,0.942385966345715,0.7703525012433825,0.7565645508463767
"('Sociology', 1, 5)",0.9415682519137885,0.664432307183052,0.49254763772421944,0.8625502145355247,0.6711510067988032,0.8529012378303189,0.9135381965472656,0.9369591732165652,0.5841547086552528,0.9420318297402263
"('Sociology', 2, 10)",0.9178742411434719,0.7734413022874562,0.8450860090763936,0.8305556035844497,0.7792039931222623,0.8815395715395715,0.8811695195829812,0.9357251562540023,0.7339819528761836,0.8290624332932026
"('Sociology', 2, 20)",0.9299230150191689,0.8014986615948154,0.8974012686031917,0.8846713809694579,0.8792654114048344,0.9336480239845624,0.9427556631402786,0.944335354816124,0.7510936659494352,0.9081448412698413
"('Sociology', 2, 5)",0.9198005199928277,0.7517151118112657,0.3453157099310945,0.838007809498194,0.6672643248845171,0.7700652712671944,0.8302335244883321,0.9278022938599861,0.6162701561259254,0.881387191867961
"('Sociology', 3, 10)",0.9315217249211831,0.7550427787358421,0.9101545218319826,0.8427570544612413,0.7486312535574104,0.8544173809729185,0.9011437272574276,0.9269171566832808,0.7607060706745308,0.8889797421399227
"('Sociology', 3, 20)",0.9434036125277939,0.8122134190147675,0.9191595411420612,0.8805983680090992,0.8414936613099597,0.9394926015343583,0.9358899702109251,0.9514266840879819,0.7148569424086275,0.8214811407956866
"('Sociology', 3, 5)",0.9206311774496159,0.7035706344641248,0.5841031221852759,0.7724986342430817,0.671473850794245,0.8459701028285447,0.87623492454501,0.9115248671439018,0.626383347483486,0.8936834022759239
