Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Linguistics', 3, 20)",0.024390846448784198,0.40916055921251054,0.28047310576549767,0.48591744973212514,0.48981880768185687,0.4830157137646561,0.4162863796129739
"('Linguistics', 3, 5)",0.0247690171970432,0.3739532350008536,0.10125110955816789,0.4412292273212421,0.4217815758269419,0.19114677055273155,0.302759378046794
"('Network', 1, 10)",0.6453465147897641,0.9118493145391876,0.6567427408863733,1.0,1.0,0.9776595663808306,0.3904265082031397
"('Network', 1, 20)",0.6489096183528676,0.9028531024179756,0.9719233210151822,1.0,1.0,1.0,0.7917336852714582
"('Network', 1, 5)",0.6480562182807176,0.98685714446584,0.5958761743595772,1.0,1.0,1.0,0.4117416280542725
"('Network', 2, 10)",0.3581207368383569,0.6649195088864883,0.5234484760241285,0.8610528310165334,0.8477528511302365,0.8379013285481209,0.544661804326643
"('Network', 2, 20)",0.3721478035385386,0.7189165489317513,0.6372603615570851,0.6953930398174969,0.8583807346299018,0.5712320840635573,0.4964882358399617
"('Network', 2, 5)",0.3568622920278512,0.6941707991939605,0.4166683931344162,0.5970185382093715,0.814736801148993,0.3661911545460121,0.4724787998192045
"('Network', 3, 10)",0.4959965776976611,0.8093509574112209,0.7343982000304374,0.8390177255609629,0.8311274622364996,0.895341503521238,0.6137558905853226
"('Network', 3, 20)",0.5001650113487077,0.8278471342297531,0.7838131807245033,0.8375396584788898,0.8301664904525317,0.8382658946516266,0.5915290056213233
"('Network', 3, 5)",0.471681215819487,0.7476578168306652,0.2862500168315228,0.8634622032112111,0.6115423952146039,0.2942873567437873,0.2716902518637194
"('Physical', 1, 10)",0.36534104751577146,0.5325919123615375,0.5699682886275266,0.5376606567868292,0.5137668788624021,0.4892033112187579,0.5266439089334276
"('Physical', 1, 20)",0.36212843962076813,0.5820372755035266,0.571700336027783,0.5882185815208806,0.5903645348798287,0.5586402826540146,0.5573862764316682
"('Physical', 1, 5)",0.36387932049188443,0.545250907746082,0.5694203545817094,0.48171768565271367,0.485254691667115,0.478966976748165,0.5147136713891023
"('Physical', 2, 10)",0.4418133323675466,0.48566971873531606,0.5240986384600033,0.4719595786846146,0.4929930461391354,0.46043226816793487,0.5282439506843356
"('Physical', 2, 20)",0.4427506024009638,0.5164103672717928,0.5581014196940977,0.5654142588827404,0.5681586946057187,0.48629334883161845,0.564166415946548
"('Physical', 2, 5)",0.44296534264218074,0.5127626503482812,0.5201791327543115,0.42867224988082897,0.4275071278259158,0.4381367621228892,0.45789742828093044
"('Physical', 3, 10)",0.37432432298660645,0.5846214105803585,0.5410512198404167,0.46514007572135496,0.521752268931965,0.5188773794061623,0.5290039064631167
"('Physical', 3, 20)",0.3770899510609247,0.5742268581337004,0.5616883343110999,0.5255987657071656,0.5751849666765874,0.5104304477367783,0.5427539688803895
"('Physical', 3, 5)",0.37579574419396133,0.5641419208289615,0.532474198485686,0.4376518698057235,0.45824479906530685,0.4454231436720784,0.4471852227907379
"('Physics', 1, 10)",0.0751167022545417,0.2142881005497945,0.5777656964518242,0.4245423691280202,0.4041837686672358,0.4282884469018321,0.5438903464426578
"('Physics', 1, 20)",0.0751573823415657,0.225532052271489,0.6137226791857152,0.5651830866514131,0.5297953556133814,0.5104295356294951,0.6395566491448598
"('Physics', 1, 5)",0.0737946142894565,0.214616183627039,0.471178473190198,0.3511387851282983,0.2282371115651795,0.3867472631781766,0.2122603206840815
"('Physics', 2, 10)",0.1081244482350077,0.12733135426822,0.3035610114294115,0.3078648918658117,0.2730524085763138,0.2771732204015079,0.1533275895813541
"('Physics', 2, 20)",0.1102047974050032,0.1043134578801383,0.3823094704624108,0.3606133186029558,0.4435541434869608,0.3863192458366979,0.430810488455308
"('Physics', 2, 5)",0.1066604813494876,0.1000526656202245,0.2123542972993379,0.1151493490388576,0.1048272226232192,0.1315574301891998,0.0555448509685999
"('Physics', 3, 10)",0.0433745931763148,0.1247031194787757,0.1631263882765091,0.4161661627654598,0.3447566998057695,0.3430163047556815,0.2738333167227654
"('Physics', 3, 20)",0.0441085263874949,0.2156860389598479,0.2828920753415532,0.3129899247729466,0.3103922530931315,0.3750710379649815,0.3863395431550524
