Domain,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('Finance', 1, 20)",0.2722722443731615,0.1206937890050687,0.215306872382307,0.2192416710531148,0.2868494802474089,0.3803400788147782,0.3713935366209139,0.435587094322537,0.1608363308169234,0.3164251823073549
"('Finance', 1, 5)",0.2308989570775882,0.1116187333019016,0.0917187741175651,0.1497731461988061,0.163133328249635,0.2452235047918849,0.2645130045128273,0.3988609539786973,0.1953533054201689,0.1646902521439664
"('Finance', 2, 10)",0.2344753364396046,0.1097088532382649,0.2170786897646194,0.1763317228099474,0.2628748527587537,0.3562207053672371,0.3618800920162114,0.3504015012848345,0.15938344590067,0.1946579398311508
"('Finance', 2, 20)",0.3149224532092449,0.1176177933860111,0.2692238195772516,0.2674112229889667,0.2913705294921547,0.3650810761646252,0.4176358221937937,0.3861630908529777,0.181797477238953,0.3334058148445527
"('Finance', 2, 5)",0.1367819937724869,0.115204991087344,0.1408647194320408,0.1285024702348128,0.1630728426636355,0.2446438132221997,0.2593152346686562,0.3172685168102506,0.1360384683497897,0.1607128479807975
"('Finance', 3, 10)",0.2808839766069224,0.1175042735042735,0.1993628314022748,0.2024683854746712,0.2968582042867494,0.3112796335036858,0.2960502502439737,0.4094976474704375,0.1685028234095041,0.2130907863300964
"('Finance', 3, 20)",0.2981905590470768,0.121535236726502,0.2192235663134528,0.1953350457383881,0.375587581617454,0.4122175171070895,0.3832525093426085,0.3568878223064984,0.1693549207225483,0.1934170722049053
"('Finance', 3, 5)",0.3237102962200704,0.1142063492063491,0.2015133512909174,0.2352802710795898,0.2403160578160577,0.2567769234471415,0.3728861133986942,0.46560996441147,0.1446863093168042,0.1849337515560674
"('Healthcare', 1, 10)",0.6228700112017603,0.6602245687904567,0.32600530752448853,0.4745278811345338,0.6289826000110822,0.6335855786997948,0.6535388348409202,0.7394791604763832,0.3255660000576353,0.5300482568612944
"('Healthcare', 1, 20)",0.6744506901412051,0.6901847643936245,0.3938610132020089,0.5816358094462399,0.7015383639094473,0.6884210061528199,0.7131112298506984,0.751922800456694,0.38250504746514336,0.6270013838439105
"('Healthcare', 1, 5)",0.6063095139472096,0.6277707212840357,0.27165057151942185,0.40516929230639825,0.4267686791591436,0.5221025107618664,0.5810865317524768,0.6497994242601169,0.23354328545560463,0.5089273535557696
"('Healthcare', 2, 10)",0.5485127000321397,0.5839274763377917,0.41781681049482244,0.4718967682490162,0.542533860363832,0.5551869827115488,0.6327806018580671,0.6949367075185264,0.39288196688280025,0.5925200595557435
"('Healthcare', 2, 20)",0.5996500648394154,0.6809318884215715,0.45047593063804403,0.5516313936203672,0.6485986831451563,0.6587199703647808,0.6661082536026897,0.7284706091971096,0.49725459531716565,0.6556500428717832
"('Healthcare', 2, 5)",0.45835281353164803,0.5023620449408595,0.2583618172598577,0.2158650770563843,0.3813476597663056,0.4649506291252911,0.584240518653921,0.6122316856221157,0.3027698786543601,0.5064245844361396
"('Healthcare', 3, 10)",0.6670221731184655,0.7017576669332849,0.3584187374635438,0.44622752504390994,0.5535589972120551,0.6323318255422087,0.6504811058189484,0.7618723282736302,0.3568820199210996,0.5496639319937724
"('Healthcare', 3, 20)",0.6227236773096096,0.7025427173663388,0.5125779590389357,0.5144367680008737,0.7216935236496951,0.7456329999667564,0.7577446469928804,0.805334289751665,0.6034510195802608,0.6729395497347425
"('Healthcare', 3, 5)",0.5922187381802776,0.6160506872919486,0.3163553859654119,0.22349734763551038,0.42746151228899354,0.4895518517546667,0.5023592612098771,0.6918880233376503,0.2689619389338588,0.4377253823570045
"('Image', 1, 10)",0.4485535936241601,0.3070238854680496,0.453701781345864,0.4182960750109788,0.42890631326796047,0.4472004880228117,0.48597755481082977,0.5677168491315205,0.40722163154972446,0.5215055534725093
"('Image', 1, 20)",0.48577623436610684,0.31716330470449167,0.5161854998031294,0.527179593848543,0.5295306944015665,0.5582011660401829,0.5888486460896506,0.628901449112822,0.4974725910381859,0.614559396753141
"('Image', 1, 5)",0.4487360039297971,0.2773870711139736,0.3981765292158116,0.40012123635039276,0.36599764229678966,0.3464552512400601,0.44220190797997483,0.5110671564005576,0.32838756291471777,0.4932322944333471
"('Image', 2, 10)",0.4937182169743539,0.34282518775694454,0.34041393089767596,0.49360708848582363,0.4266626646334629,0.4497639507622302,0.5409895464122236,0.6017767154747565,0.38034004625476403,0.5603367656790156
"('Image', 2, 20)",0.524835974551625,0.40162475921354995,0.5177126302838537,0.5557199482638304,0.54527216066097,0.5661814125718915,0.5807477120630828,0.6805937336592119,0.5237796221931741,0.6149962238944099
"('Image', 2, 5)",0.44405616842891665,0.3136864606838916,0.36502013426303626,0.4389238298004723,0.3074665640950132,0.25945625447319537,0.38821239993253454,0.47779867252289443,0.29026967041265034,0.4817844352900754
"('Image', 3, 10)",0.45688124045247375,0.41536066310339603,0.4221474848788007,0.48987782235071997,0.43081709336280727,0.4760898127010856,0.4771367333942009,0.5879285946740828,0.40899972130256296,0.5876966920868495
"('Image', 3, 20)",0.5011782989443034,0.4219001067314256,0.4597518142764926,0.5250761324995037,0.5379669343225975,0.5477537438967199,0.5510884977140732,0.6526458129330203,0.4789342066462354,0.6156285796914621
"('Image', 3, 5)",0.4036158968600089,0.38158003819643643,0.27033100458675546,0.4356024485067067,0.3463178272115045,0.32884076243795646,0.3683813740010589,0.5214714124478991,0.3986834313897883,0.5343416693399136
"('Linguistics', 1, 10)",0.5285163138486867,0.4424065248830118,0.4145590119746507,0.46037650822567,0.27324996808332724,0.3886210440687129,0.30651992477307627,0.46584238989624055,0.37501651373251893,0.4155707281059546
"('Linguistics', 1, 20)",0.5310059235491709,0.4797582870468093,0.5722738237453913,0.4939773721884272,0.38117823793868283,0.4608719656038291,0.43182305443585006,0.533940000249522,0.4658304856835095,0.5350729130956766
"('Linguistics', 1, 5)",0.4669468120493775,0.544391517709567,0.18469509392190095,0.3467124033466225,0.19701081761111983,0.3793312899872661,0.2369581499065894,0.33447854820907647,0.3147124320970533,0.30488154571627935
"('Linguistics', 2, 10)",0.558831586570618,0.3643135097902591,0.431402620449126,0.5013506498693092,0.2841956911184529,0.3859726948022131,0.4315097679592247,0.4036184473612171,0.4642108512589313,0.43478113754424513
"('Linguistics', 2, 20)",0.5414450648789537,0.43261696847826164,0.599913986200454,0.5265860357933915,0.39869825754021176,0.4978807589868596,0.43007859416996086,0.46705604131838285,0.5297699682784215,0.5257586522165276
"('Linguistics', 2, 5)",0.4945125361570475,0.38951475187076795,0.3481799741722729,0.4257859569607156,0.31869218225788204,0.368357073185328,0.4039582162414996,0.3778467298379184,0.4237421237812254,0.47568331539195297
"('Linguistics', 3, 10)",0.44940604648629173,0.33485525417149914,0.331124775209504,0.40941672049670674,0.31006015160721134,0.3660631376365284,0.40447137731023564,0.44379834319629347,0.3763767881393459,0.4457812877902358
"('Linguistics', 3, 20)",0.4560363641631765,0.3694957411983468,0.4320156474077221,0.46080502608114865,0.38569512668126654,0.38411596188778985,0.4197775864844191,0.445253340707666,0.4529547336587102,0.4303410372907526
"('Linguistics', 3, 5)",0.37650117758433177,0.1775828639418515,0.2487263020317301,0.3003264490082602,0.23383882850692456,0.15987371680973272,0.2226243855208996,0.3690502575801896,0.2785616356906107,0.2077351369037522
"('Network', 1, 10)",1.0,0.4627083333333334,0.3862858940743685,0.9849416264090176,0.6892123421063637,0.8534249649768473,0.6239166096217579,0.7677511714313194,0.5801915192752529,1.0
"('Network', 1, 20)",1.0,0.2030615942028985,0.7414123516808085,0.9967948717948716,0.922070280196591,0.8937270625729776,0.8066734443729572,0.9902254428341384,0.8795314581626025,0.9554834397101948
"('Network', 1, 5)",1.0,0.8377777777777778,0.4839448875769978,0.9331776685195295,0.552858204597335,0.4565395864658774,0.6115396394004275,0.803822625676138,0.7488478404103126,0.9983333333333332
"('Network', 2, 10)",0.8340367377634763,0.0817399804496578,0.5587815292894716,0.6954542193286368,0.533479020979021,0.452059758154921,0.5901458375722666,0.5491018292812941,0.1575456425527535,0.694596973678246
"('Network', 2, 20)",0.8419967032580707,0.0861467435087066,0.6795288985988093,0.7885354428058117,0.7667693266733728,0.7084190100565401,0.7730217659555222,0.7280096936121604,0.6463268112376782,0.724900677744635
"('Network', 2, 5)",0.8261484918069819,0.0812587412587412,0.5613223806923692,0.6478890489902285,0.3228389467675182,0.2161092790564621,0.2874896758131997,0.5443157249785961,0.2945029428907296,0.7448993683102295
"('Network', 3, 10)",0.8333796208427556,0.5759595959595959,0.727916886017289,0.8419047082080718,0.8165376336847628,0.6513624023903326,0.7979252879092671,0.739590525281428,0.7624193966889979,0.8317527420500261
"('Network', 3, 20)",0.8331636922031287,0.3339646464646464,0.7802982954956745,0.8241336693141476,0.846190476190476,0.8184275926347764,0.8331849257318698,0.8447062705535853,0.7489924695729789,0.8561849694839693
"('Network', 3, 5)",0.8334327902789137,0.0730860797694794,0.6001768171611713,0.7102294478812565,0.6468170718170718,0.6794708387155398,0.7282327972148572,0.235859485956572,0.3890376611828491,0.8234024293271492
"('Physical', 1, 10)",0.5627702327570349,0.5847020330415313,0.4361233637893037,0.5899574259975089,0.4182474295191458,0.5009699221489765,0.5043550195942581,0.5725725197409852,0.40548028016957605,0.5085893709762761
"('Physical', 1, 20)",0.6035785058754115,0.5483265060481951,0.4714897721869734,0.5962195310674961,0.4779186639927245,0.5437875754312743,0.5514186134523067,0.5954973770469992,0.44475216396705874,0.5125472271738397
"('Physical', 1, 5)",0.5867464405188936,0.5652783441724004,0.3410670646486237,0.5875960640203486,0.3882158526918048,0.4979696283520867,0.4867083649641455,0.522018945774271,0.4563634049919525,0.45478418479906296
"('Physical', 2, 10)",0.47640371525591374,0.5204526447789515,0.3423318070853069,0.5070949361126404,0.41407658675790415,0.4788552563515782,0.4763794219422259,0.5065624743153776,0.3875258803789208,0.40693966336123855
