component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
network_initialization:xavier_normal,0.5854355236627687,0.5603162828604497,0.5382872273791001,0.6953181533402291,0.5529952433329307,0.7477069316259919,0.5790622737442735,0.6476237499738874,0.7809891397013677,0.7291739749134306,0.6348863034012378,0.6733195887758596,0.6486020451213977,0.7514490868680876
training_strategy:None,0.5903364826876967,0.5781037327256383,0.5547028059947422,0.6950830875879431,0.5573178168257811,0.7337200028304849,0.5875904187995535,0.6438645222188845,0.7738095516613277,0.7220493111859443,0.6396813699808221,0.6674769979899261,0.6562146150808852,0.7429702838126742
loss_name:bce,0.5840719741437743,0.5884751894413596,0.5451386875903769,0.6978546432247282,0.548497967034993,0.76148167141115,0.5795863133228293,0.6569790949605455,0.7890812855813184,0.7437458121340565,0.6530984288964257,0.6769667529266786,0.6624920627028258,0.7577250368281726
loss_name:deviation,0.6599532246177198,0.6659048720077557,0.6114114921413663,0.7358315339400923,0.6089615647531362,0.8344101781566688,0.6385353740491186,0.720382361086802,0.8773642044431761,0.7701318534992883,0.7329746866056432,0.7520346086418168,0.7191827828074043,0.7946437252788303
loss_name:focal,0.5728648782421458,0.5673205843678796,0.5354656858945167,0.684449440725888,0.5370133483314566,0.7120950904396942,0.582834245226704,0.6347622090646288,0.7610234115237433,0.7169878069852423,0.6376930341012707,0.6756704938733863,0.6387450280200602,0.7422657457066011
loss_name:hinge,0.7120517325787659,0.702351080273325,0.679249858579214,0.7932339350283795,0.67976371166125,0.8689623889916959,0.6986692793209673,0.7679924515271437,0.8831040324040534,0.8100687440010698,0.785736153035606,0.8194014489994101,0.7572164197377403,0.8313267835411116
loss_name:inverse,0.4445971277802117,0.40797532870097414,0.4327517748151513,0.5264376381843936,0.43984420339588776,0.4992012587746238,0.46104259026404143,0.4535380500544649,0.5131608989741078,0.5382896231741947,0.4313992569490109,0.4499905040673804,0.44984888860297145,0.5840706540405886
loss_name:minus,0.5608065705003028,0.5284127449092172,0.5143959780780806,0.7101150175282508,0.5210875585779,0.6983173293611018,0.5553344545707919,0.622701699399371,0.804901962832887,0.731012095602251,0.5783394291900872,0.6019284895300682,0.6903266571565586,0.7259783639222047
optimizer_name:Adam,0.6184101422747976,0.6350645959162523,0.6008497040934214,0.7112787178258165,0.6038464528460736,0.7621888428378915,0.6300256041388875,0.6802741328202968,0.8036697745820314,0.7496242564054578,0.6850635376742827,0.7081167498148153,0.6790012551712761,0.7584974601845057
optimizer_name:RMSprop,0.6101781314474156,0.6140809470850853,0.5728915994562693,0.6954755367362464,0.5778639121679652,0.7702590176452923,0.6062097804920356,0.6731725320732903,0.8036828223367534,0.7372669763522586,0.6757535636579016,0.6863583463431313,0.6770628236936077,0.7448436041855674
optimizer_name:SGD,0.5356476572627262,0.4717756062079555,0.4786407404045514,0.6732378717054863,0.47894569683414956,0.6562815643954502,0.5167401972244826,0.5705287672752795,0.7055922432390708,0.6691733718587785,0.5450968784896361,0.5950652081063361,0.6043076697246458,0.7213993260497306
