Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Healthcare', 2, 5)",0.7569331037898468,0.8592732853865634,0.7590229795488139,0.7884425779400781,0.8133712478508706,0.840831031132519,0.919362105696273
"('Healthcare', 3, 10)",0.7289845397051743,0.8923840888894826,0.7946124585238147,0.8962968955273481,0.9057584171095681,0.8849277762679882,0.9359023163360494
"('Healthcare', 3, 20)",0.7325481877921594,0.8930436491602958,0.8192072646819039,0.892521556049827,0.9019196581874759,0.8742456059125177,0.9489270368165241
"('Healthcare', 3, 5)",0.7281400744253134,0.8641868315912259,0.7542321986159405,0.8810735880170985,0.8634815648221423,0.8396999625820474,0.8835461375464362
"('Image', 1, 10)",0.6511499096519224,0.8536088980275431,0.7988108188797572,0.7968190115383904,0.8059772251352192,0.7578928724974179,0.8475006562017682
"('Image', 1, 20)",0.5674640686915245,0.8557114514646639,0.8320741036782698,0.8124673447009051,0.8299046667615926,0.8370051409511019,0.8885263484327675
"('Image', 1, 5)",0.6056415923918295,0.8481768193591789,0.7780491830857139,0.7817486214847191,0.7785862773253516,0.7421768193905836,0.8225309854519645
"('Image', 2, 10)",0.5882941770602714,0.8344796989894704,0.8084410417793116,0.7823980354409876,0.8018842852841369,0.7934270198026396,0.8622969860795877
"('Image', 2, 20)",0.5963010315378535,0.839608513438151,0.8467655094997163,0.8117557409710761,0.8235301722838066,0.8355586088066003,0.9022575522843356
"('Image', 2, 5)",0.5859864733925129,0.8243065587735467,0.7710443323043543,0.7297464145043624,0.7424540860766489,0.7485140400662371,0.8099535124816004
"('Image', 3, 10)",0.5806209134523895,0.829630521540535,0.8112969871640026,0.7691222930563373,0.7885195007897321,0.7751341273624396,0.877670134436884
"('Image', 3, 20)",0.5994367375916932,0.8256360475917238,0.8305913602069555,0.7927167512299521,0.8084524803001804,0.822918192086307,0.8940099509236452
